report_time,state_name,confirmed_india,confirmed_foreign,cured,death,confirmed
2020-01-30,Kerala,1.0,0.0,0,0,1
2020-02-02,Kerala,2.0,0.0,0,0,2
2020-02-03,Kerala,3.0,0.0,0,0,3
2020-03-02,Delhi,1.0,0.0,0,0,1
2020-03-02,Kerala,3.0,0.0,0,0,3
2020-03-02,Telangana,1.0,0.0,0,0,1
2020-03-03,Delhi,1.0,0.0,0,0,1
2020-03-03,Kerala,3.0,0.0,0,0,3
2020-03-03,Rajasthan,1.0,0.0,0,0,1
2020-03-03,Telangana,1.0,0.0,0,0,1
2020-03-10,Delhi,4.0,0.0,0,0,4
2020-03-10,Haryana,0.0,14.0,0,0,14
2020-03-10,Jammu and Kashmir,1.0,0.0,0,0,1
2020-03-10,Karnataka,1.0,0.0,0,0,1
2020-03-10,Kerala,9.0,0.0,0,0,9
2020-03-10,Ladakh,2.0,0.0,0,0,2
2020-03-10,Maharashtra,2.0,0.0,0,0,2
2020-03-10,Punjab,1.0,0.0,0,0,1
2020-03-10,Rajasthan,0.0,2.0,0,0,2
2020-03-10,Telangana,1.0,0.0,0,0,1
2020-03-10,Tamil Nadu,1.0,0.0,0,0,1
2020-03-10,Uttar Pradesh,9.0,0.0,0,0,9
2020-03-11,Delhi,5.0,0.0,0,0,5
2020-03-11,Haryana,0.0,14.0,0,0,14
2020-03-11,Jammu and Kashmir,1.0,0.0,0,0,1
2020-03-11,Karnataka,4.0,0.0,0,0,4
2020-03-11,Kerala,17.0,0.0,0,0,17
2020-03-11,Ladakh,2.0,0.0,0,0,2
2020-03-11,Maharashtra,2.0,0.0,0,0,2
2020-03-11,Punjab,1.0,0.0,0,0,1
2020-03-11,Rajasthan,1.0,2.0,0,0,3
2020-03-11,Telangana,1.0,0.0,0,0,1
2020-03-11,Tamil Nadu,1.0,0.0,0,0,1
2020-03-11,Uttar Pradesh,9.0,0.0,0,0,9
2020-03-12,Delhi,6.0,0.0,0,0,6
2020-03-12,Haryana,0.0,14.0,0,0,14
2020-03-12,Jammu and Kashmir,1.0,0.0,0,0,1
2020-03-12,Karnataka,4.0,0.0,0,0,4
2020-03-12,Kerala,17.0,0.0,0,0,17
2020-03-12,Ladakh,3.0,0.0,0,0,3
2020-03-12,Maharashtra,11.0,0.0,0,0,11
2020-03-12,Punjab,1.0,0.0,0,0,1
2020-03-12,Rajasthan,1.0,2.0,0,0,3
2020-03-12,Telangana,1.0,0.0,0,0,1
2020-03-12,Tamil Nadu,1.0,0.0,0,0,1
2020-03-12,Uttar Pradesh,10.0,1.0,0,0,11
2020-03-12,Andhra Pradesh,1.0,0.0,0,0,1
2020-03-12,Delhi,6.0,0.0,0,0,6
2020-03-12,Haryana,0.0,14.0,0,0,14
2020-03-12,Jammu and Kashmir,1.0,0.0,0,0,1
2020-03-12,Karnataka,4.0,0.0,0,0,4
2020-03-12,Kerala,17.0,0.0,3,0,17
2020-03-12,Ladakh,3.0,0.0,0,0,3
2020-03-12,Maharashtra,11.0,0.0,0,0,11
2020-03-12,Punjab,1.0,0.0,0,0,1
2020-03-12,Rajasthan,1.0,2.0,0,0,3
2020-03-12,Telangana,1.0,0.0,0,0,1
2020-03-12,Tamil Nadu,1.0,0.0,0,0,1
2020-03-12,Uttar Pradesh,10.0,1.0,0,0,11
2020-03-13,Andhra Pradesh,1.0,0.0,0,0,1
2020-03-13,Delhi,6.0,0.0,0,0,6
2020-03-13,Haryana,0.0,14.0,0,0,14
2020-03-13,Jammu and Kashmir,1.0,0.0,0,0,1
2020-03-13,Karnataka,5.0,0.0,0,1,5
2020-03-13,Kerala,17.0,0.0,3,0,17
2020-03-13,Ladakh,3.0,0.0,0,0,3
2020-03-13,Maharashtra,11.0,0.0,0,0,11
2020-03-13,Punjab,1.0,0.0,0,0,1
2020-03-13,Rajasthan,1.0,2.0,0,0,3
2020-03-13,Telangana,1.0,0.0,0,0,1
2020-03-13,Tamil Nadu,1.0,0.0,0,0,1
2020-03-13,Uttar Pradesh,10.0,1.0,0,0,11
2020-03-13,Andhra Pradesh,1.0,0.0,0,0,1
2020-03-13,Delhi,7.0,0.0,1,1,7
2020-03-13,Haryana,0.0,14.0,0,0,14
2020-03-13,Jammu and Kashmir,1.0,0.0,0,0,1
2020-03-13,Karnataka,6.0,0.0,0,1,6
2020-03-13,Kerala,19.0,0.0,3,0,19
2020-03-13,Ladakh,3.0,0.0,0,0,3
2020-03-13,Maharashtra,11.0,0.0,0,0,11
2020-03-13,Punjab,1.0,0.0,0,0,1
2020-03-13,Rajasthan,1.0,2.0,1,0,3
2020-03-13,Telangana,1.0,0.0,0,0,1
2020-03-13,Tamil Nadu,1.0,0.0,0,0,1
2020-03-13,Uttar Pradesh,10.0,1.0,5,0,11
2020-03-14,Andhra Pradesh,1.0,0.0,0,0,1
2020-03-14,Delhi,7.0,0.0,1,1,7
2020-03-14,Haryana,0.0,14.0,0,0,14
2020-03-14,Jammu and Kashmir,1.0,0.0,0,0,1
2020-03-14,Karnataka,6.0,0.0,0,1,6
2020-03-14,Kerala,19.0,0.0,3,0,19
2020-03-14,Ladakh,3.0,0.0,0,0,3
2020-03-14,Maharashtra,14.0,0.0,0,0,14
2020-03-14,Punjab,1.0,0.0,0,0,1
2020-03-14,Rajasthan,1.0,2.0,1,0,3
2020-03-14,Telangana,1.0,0.0,0,0,1
2020-03-14,Tamil Nadu,1.0,0.0,0,0,1
2020-03-14,Uttar Pradesh,11.0,1.0,5,0,12
2020-03-14,Andhra Pradesh,1.0,0.0,0,0,1
2020-03-14,Delhi,7.0,0.0,1,1,7
2020-03-14,Haryana,0.0,14.0,0,0,14
2020-03-14,Jammu and Kashmir,2.0,0.0,0,0,2
2020-03-14,Karnataka,6.0,0.0,0,1,6
2020-03-14,Kerala,19.0,0.0,3,0,19
2020-03-14,Ladakh,3.0,0.0,0,0,3
2020-03-14,Maharashtra,14.0,0.0,0,0,14
2020-03-14,Punjab,1.0,0.0,0,0,1
2020-03-14,Rajasthan,1.0,2.0,1,0,3
2020-03-14,Telangana,1.0,0.0,0,0,1
2020-03-14,Tamil Nadu,1.0,0.0,0,0,1
2020-03-14,Uttar Pradesh,11.0,1.0,5,0,12
2020-03-15,Andhra Pradesh,1.0,0.0,0,0,1
2020-03-15,Delhi,7.0,0.0,2,1,7
2020-03-15,Haryana,0.0,14.0,0,0,14
2020-03-15,Jammu and Kashmir,2.0,0.0,0,0,2
2020-03-15,Karnataka,6.0,0.0,0,1,6
2020-03-15,Kerala,22.0,0.0,3,0,22
2020-03-15,Ladakh,3.0,0.0,0,0,3
2020-03-15,Maharashtra,19.0,0.0,0,0,19
2020-03-15,Punjab,1.0,0.0,0,0,1
2020-03-15,Rajasthan,2.0,2.0,0,0,4
2020-03-15,Telangana,1.0,0.0,1,0,1
2020-03-15,Tamil Nadu,1.0,0.0,0,0,1
2020-03-15,Uttar Pradesh,11.0,1.0,3,0,12
2020-03-15,Andhra Pradesh,1.0,0.0,0,0,1
2020-03-15,Delhi,7.0,0.0,2,1,7
2020-03-15,Haryana,0.0,14.0,0,0,14
2020-03-15,Jammu and Kashmir,2.0,0.0,0,0,2
2020-03-15,Karnataka,6.0,0.0,0,1,6
2020-03-15,Kerala,22.0,0.0,3,0,22
2020-03-15,Ladakh,3.0,0.0,0,0,3
2020-03-15,Maharashtra,31.0,0.0,0,0,31
2020-03-15,Punjab,1.0,0.0,0,0,1
2020-03-15,Rajasthan,2.0,2.0,0,0,4
2020-03-15,Telangana,3.0,0.0,1,0,3
2020-03-15,Tamil Nadu,1.0,0.0,0,0,1
2020-03-15,Uttar Pradesh,11.0,1.0,3,0,12
2020-03-15,Andhra Pradesh,1.0,0.0,0,0,1
2020-03-15,Delhi,7.0,0.0,2,1,7
2020-03-15,Haryana,0.0,14.0,0,0,14
2020-03-15,Jammu and Kashmir,2.0,0.0,0,0,2
2020-03-15,Karnataka,6.0,0.0,0,1,6
2020-03-15,Kerala,22.0,0.0,3,0,22
2020-03-15,Ladakh,3.0,0.0,0,0,3
2020-03-15,Maharashtra,31.0,0.0,0,0,31
2020-03-15,Punjab,1.0,0.0,0,0,1
2020-03-15,Rajasthan,2.0,2.0,0,0,4
2020-03-15,Telangana,3.0,0.0,1,0,3
2020-03-15,Tamil Nadu,1.0,0.0,0,0,1
2020-03-15,Uttar Pradesh,11.0,1.0,4,0,12
2020-03-15,Andhra Pradesh,1.0,0.0,0,0,1
2020-03-15,Delhi,7.0,0.0,2,1,7
2020-03-15,Haryana,0.0,14.0,0,0,14
2020-03-15,Jammu and Kashmir,2.0,0.0,0,0,2
2020-03-15,Karnataka,6.0,0.0,0,1,6
2020-03-15,Kerala,22.0,0.0,3,0,22
2020-03-15,Ladakh,3.0,0.0,0,0,3
2020-03-15,Maharashtra,32.0,0.0,0,0,32
2020-03-15,Punjab,1.0,0.0,0,0,1
2020-03-15,Rajasthan,2.0,2.0,3,0,4
2020-03-15,Telangana,3.0,0.0,1,0,3
2020-03-15,Tamil Nadu,1.0,0.0,0,0,1
2020-03-15,Uttar Pradesh,12.0,1.0,4,0,13
2020-03-15,Uttarakhand,1.0,0.0,0,0,1
